,Pre,Post
AVG_1,,5473.111111111112
AVG_2,12573.0,7850.666666666667
AVG_3,13247.416666666666,6124.333333333333
AVG_4,10774.22222222222,15024.666666666666
AVG_5,12012.666666666666,5041.333333333333
AVG_6,13160.333333333334,5038.0
AVG_7,13649.5,5380.666666666667
AVG_8,13531.5,7586.0
AVG_9,9499.5,16531.666666666668
AVG_10,14122.333333333334,4430.666666666667
AVG_11,13419.333333333334,13501.666666666666
AVG_12,12600.33333333333,13975.333333333334
AVG_13,10604.833333333334,8763.666666666666
AVG_14,12720.166666666666,3976.6666666666665
AVG_15,10386.0,5698.333333333333
AVG_16,12948.5,5134.333333333333
AVG_17,11549.0,4389.833333333334
AVG_18,11678.0,4623.666666666667
AVG_19,6400.0,5485.333333333333
AVG_20,14463.333333333334,5113.333333333333
AVG_21,10774.833333333334,6034.666666666667
AVG_22,9507.166666666666,4524.166666666667
AVG_23,13282.0,4512.666666666666
AVG_24,11475.88888888889,4301.666666666667
AVG_25,12531.0,3974.3333333333335
AVG_26,12564.166666666666,6222.666666666668
AVG_27,13963.666666666666,4625.666666666667
AVG_28,12508.166666666666,4846.0
AVG_29,12608.0,4758.666666666667
AVG_30,11463.77777777778,5303.666666666667
AVG_31,12504.555555555557,5230.000000000001
AVG_32,10975.111111111111,5038.666666666667
AVG_33,6023.0,4567.999999999999
AVG_34,9251.0,5042.666666666667
AVG_35,12268.833333333334,4356.0
AVG_36,11464.555555555557,5675.833333333333
AVG_37,11654.166666666666,5697.333333333333
AVG_38,12005.333333333334,5791.166666666667
AVG_39,11493.833333333334,5619.166666666667
AVG_40,9179.666666666666,5622.5
AVG_41,10031.555555555557,5762.88888888889
AVG_42,10503.833333333334,5496.666666666667
AVG_43,11479.333333333334,5533.833333333333
AVG_44,11509.666666666666,4816.333333333333
AVG_45,11611.333333333334,6761.666666666668
AVG_46,10815.88888888889,6731.333333333333
AVG_47,13695.555555555557,6530.166666666667
AVG_48,9432.444444444443,6473.000000000001
AVG_49,11081.0,6652.333333333333
AVG_50,11263.666666666666,7047.555555555556
AVG_51,11842.0,8193.22222222222
AVG_52,12884.0,4399.666666666665
AVG_53,6160.5,5305.333333333333
AVG_54,6073.333333333333,5537.333333333333
AVG_55,5633.88888888889,5142.0
AVG_56,,4866.166666666666
AVG_57,,5862.666666666667
AVG_58,12716.944444444443,9121.33333333333
AVG_59,14017.666666666666,5639.333333333333
AVG_60,,5262.666666666667
AVG_61,,5486.0
AVG_62,,5943.666666666667
AVG_63,8344.833333333334,4849.0
AVG_64,11164.833333333334,5418.5
AVG_65,11637.666666666666,9032.833333333334
AVG_66,9890.0,7698.0
AVG_67,9188.5,7198.0
AVG_68,11283.166666666666,7235.666666666667
AVG_69,9392.166666666666,5384.333333333334
AVG_70,10361.666666666666,8693.0
AVG_71,10530.833333333334,6212.833333333333
AVG_72,14784.333333333334,9118.0
AVG_73,6905.666666666667,6131.333333333333
AVG_74,5778.333333333333,5681.333333333332
AVG_75,4215.000000000001,4451.0
AVG_76,9286.0,4938.999999999999
AVG_77,11641.0,8086.666666666667
AVG_78,9180.0,5435.000000000002
AVG_79,8663.666666666666,5653.0
AVG_80,11950.833333333334,7041.5
AVG_81,11768.666666666666,5846.0
AVG_82,13862.5,5687.333333333333
AVG_83,12625.666666666672,5620.166666666667
AVG_84,12504.0,5986.166666666667
AVG_85,5365.0,6243.666666666667
AVG_86,12640.166666666666,5826.166666666667
AVG_87,10615.166666666666,6518.166666666667
AVG_88,10711.555555555557,5996.666666666667
AVG_89,9944.833333333334,7166.0
AVG_90,12006.333333333334,5002.666666666667
AVG_91,11335.833333333334,5100.000000000001
AVG_92,10037.833333333334,5404.666666666667
AVG_93,,4697.222222222223
AVG_94,,13439.33333333333
AVG_95,,8447.999999999998
AVG_96,,11909.666666666666
AVG_97,15147.333333333334,5740.11111111111
AVG_98,15957.333333333334,5020.5
AVG_99,15173.666666666666,5422.0
AVG_100,12754.333333333334,6679.666666666667
AVG_101,14362.333333333334,5028.333333333333
AVG_102,17416.666666666668,5049.0
AVG_103,12870.333333333334,5223.833333333333
AVG_104,11298.0,5741.0
AVG_105,14066.666666666666,4803.333333333333
AVG_106,16905.0,5340.333333333333
AVG_107,12835.333333333334,6101.0
AVG_108,14133.0,5523.0
AVG_109,15753.666666666666,5026.666666666667
AVG_110,13017.66666666667,5806.666666666665
AVG_111,11230.833333333334,5853.0
AVG_112,7931.0,4939.833333333333
AVG_113,10782.333333333334,5579.0
AVG_114,9196.333333333334,6199.333333333333
AVG_115,7473.333333333332,5571.333333333333
AVG_116,12546.666666666666,6082.0
AVG_117,13746.0,4836.333333333333
AVG_118,13552.0,5094.11111111111
AVG_119,12230.33333333333,5304.166666666667
AVG_120,8437.333333333334,5605.666666666667
AVG_121,8130.666666666667,5502.333333333333
AVG_122,8712.666666666666,5688.666666666668
AVG_123,9279.333333333334,6145.0
AVG_124,8278.0,5497.833333333333
AVG_125,8527.0,5986.333333333333
AVG_126,13628.666666666666,8116.666666666667
AVG_127,7126.333333333333,5562.333333333333
AVG_128,6014.333333333333,5764.666666666667
AVG_129,9316.0,5896.333333333333
AVG_130,14821.333333333336,5428.333333333334
AVG_131,11255.333333333334,5252.333333333333
AVG_132,13350.666666666664,5165.666666666667
AVG_133,13111.166666666666,6552.666666666667
AVG_134,6242.666666666667,6220.0
AVG_135,11209.833333333334,6148.666666666667
AVG_136,10274.0,5472.333333333333
AVG_137,11133.0,6099.666666666667
AVG_138,10880.666666666666,6031.666666666667
AVG_139,5711.0,5909.166666666667
AVG_140,5906.666666666668,6358.166666666667
AVG_141,10740.666666666666,5733.444444444444
AVG_142,8270.833333333334,5614.666666666667
AVG_143,6151.5,5761.0
AVG_144,9463.555555555557,5332.666666666667
AVG_145,9577.5,6349.333333333333
AVG_146,10401.0,6283.0
AVG_147,10861.5,6569.166666666667
AVG_148,6821.0,5936.666666666667
AVG_149,8976.0,6941.666666666667
AVG_150,9690.666666666666,5970.333333333333
AVG_151,10570.0,5986.222222222223
AVG_152,11339.166666666666,5575.777777777777
AVG_153,9282.666666666666,6725.5
AVG_154,10776.166666666666,6821.444444444444
AVG_155,5907.0,6637.333333333333
AVG_156,6108.833333333333,6398.5
AVG_157,9177.333333333334,6319.166666666667
AVG_158,9259.166666666666,5965.444444444444
AVG_159,7244.5,6531.944444444445
AVG_160,9099.666666666666,6309.666666666667
AVG_161,10027.333333333334,5720.0
AVG_162,9445.833333333334,6933.833333333333
AVG_163,9946.166666666666,5983.333333333333
AVG_164,9209.833333333334,6024.0
AVG_165,10159.666666666666,5184.666666666667
AVG_166,10361.833333333334,7348.833333333333
AVG_167,9276.833333333334,6628.5
AVG_168,10130.833333333334,6876.166666666667
AVG_169,9197.833333333334,6871.166666666667
AVG_170,11010.166666666666,6453.5
AVG_171,13315.333333333334,5139.833333333333
AVG_172,10405.166666666666,5945.666666666667
AVG_173,,5940.0
AVG_174,8079.0,4948.0
AVG_175,9722.166666666666,5801.0
AVG_176,12431.777777777776,5938.0
AVG_177,9296.5,6606.333333333333
AVG_178,9609.666666666666,9518.666666666666
AVG_179,8987.333333333334,5738.333333333333
AVG_180,10303.166666666666,6540.833333333333
AVG_181,6578.5,6191.0
AVG_182,10657.055555555557,6764.333333333333
AVG_183,6227.333333333333,6145.166666666667
AVG_184,10568.666666666666,6603.555555555556
AVG_185,13102.888888888889,6083.166666666667
AVG_186,10583.333333333334,6276.5
AVG_187,8350.333333333334,6573.666666666667
AVG_188,9701.0,5835.444444444444
AVG_189,13883.666666666666,5960.11111111111
AVG_190,7450.5,6085.666666666667
AVG_191,9095.5,6380.0
AVG_192,,5944.666666666667
AVG_193,,8062.0
AVG_194,,12057.22222222222
AVG_195,,6936.000000000001
AVG_196,,8035.333333333333
AVG_197,,6189.0
AVG_198,,6278.5
AVG_199,,6218.333333333333
AVG_200,11921.333333333334,4827.833333333333
AVG_201,,5607.666666666667
AVG_202,,5493.222222222222
AVG_203,10928.5,5278.999999999999
AVG_204,9689.333333333334,5932.0
AVG_205,12035.333333333334,5890.5
AVG_206,14773.333333333336,5989.833333333333
AVG_207,12072.333333333334,4936.833333333333
AVG_208,9596.666666666668,5341.166666666667
AVG_209,14778.666666666666,4641.833333333333
AVG_210,16724.333333333332,5334.0
AVG_211,11156.333333333334,5143.833333333333
AVG_212,11941.666666666666,5538.333333333333
AVG_213,6894.333333333332,5571.0
AVG_214,10931.0,5554.666666666667
AVG_215,10835.666666666666,5366.0
AVG_216,,4498.333333333333
AVG_217,,5316.333333333332
AVG_218,,4603.0
AVG_219,,4664.0
AVG_220,,4523.666666666667
AVG_221,,11285.333333333336
AVG_222,,9906.0
AVG_223,,13297.666666666662
AVG_224,,15375.666666666666
AVG_225,13125.333333333334,5023.833333333333
AVG_226,13060.333333333334,4227.333333333333
AVG_227,6062.666666666667,4646.88888888889
AVG_228,7953.5,5212.666666666667
AVG_229,8178.0,7553.0
AVG_230,9256.333333333334,5306.666666666667
AVG_231,5909.666666666667,6131.666666666667
AVG_232,8069.5,5449.5
AVG_233,7784.333333333333,5778.333333333333
AVG_234,13827.333333333336,5307.333333333333
AVG_235,11342.333333333334,5182.5
AVG_236,14928.833333333334,6015.333333333333
AVG_237,9993.0,5552.0
AVG_238,14725.833333333334,5493.333333333333
AVG_239,14605.333333333334,6028.333333333333
AVG_240,14487.333333333334,5342.333333333333
AVG_241,12788.999999999998,5621.0
AVG_242,11774.0,6717.333333333333
AVG_243,11533.333333333334,5927.000000000001
AVG_244,11064.0,5589.666666666667
AVG_245,12621.333333333334,5232.666666666667
AVG_246,13228.0,5478.333333333333
AVG_247,11058.0,5547.666666666667
AVG_248,12050.333333333334,5948.999999999999
AVG_249,13884.333333333334,5278.666666666667
AVG_250,12053.666666666666,5238.666666666667
AVG_251,13780.333333333334,5859.0
AVG_252,,6391.222222222223
AVG_253,,5711.777777777777
AVG_254,,6302.0
AVG_255,,6030.333333333333
AVG_256,12028.66666666667,5223.666666666665
AVG_257,12179.888888888889,4776.11111111111
AVG_258,8118.0,5279.666666666667
AVG_259,8206.333333333334,6038.666666666667
AVG_260,,5462.666666666667
AVG_261,,5499.333333333333
AVG_262,,4765.333333333333
AVG_263,,5624.5
AVG_264,,5450.833333333333
AVG_265,,6380.777777777778
AVG_266,,5702.833333333333
AVG_267,,5928.0
AVG_268,,6108.666666666667
AVG_269,,6101.0
AVG_270,,5752.0
AVG_271,10509.333333333334,4516.111111111111
AVG_272,11325.333333333334,4474.0
AVG_273,6921.0,4950.166666666667
AVG_274,14896.333333333334,5266.833333333333
AVG_275,,5555.5
AVG_276,,5488.5
AVG_277,,5735.333333333333
AVG_278,,5270.333333333333
AVG_279,,5620.666666666667
AVG_280,,5326.666666666667
AVG_281,,5923.0
AVG_282,,6709.666666666667
AVG_283,,6066.333333333333
AVG_284,,6886.166666666667
AVG_285,,5496.666666666667
AVG_286,,5977.0
AVG_287,,6154.0
AVG_288,,6114.0
AVG_289,,7227.555555555555
AVG_290,,5673.833333333333
AVG_291,,5668.833333333333
AVG_292,,6108.333333333333
AVG_293,,5548.11111111111
AVG_294,,6133.222222222223
AVG_295,,5649.88888888889
AVG_296,,5515.88888888889
AVG_297,10202.5,5195.777777777778
AVG_298,10416.666666666666,4519.777777777777
AVG_299,16774.666666666668,5589.999999999999
AVG_300,15222.333333333334,5389.666666666667
AVG_301,12710.333333333334,5856.333333333333
AVG_302,8754.666666666666,5795.333333333333
AVG_303,11503.666666666666,5232.666666666666
AVG_304,15138.333333333334,5964.0
AVG_305,9200.77777777778,5819.222222222223
AVG_306,13118.5,6076.222222222223
AVG_307,8227.111111111111,5954.0
AVG_308,11147.666666666666,6137.666666666667
AVG_309,11075.777777777776,5509.166666666667
AVG_310,10676.166666666666,6015.333333333333
AVG_311,10691.666666666668,6350.666666666667
AVG_312,11899.5,5666.5
AVG_313,6920.333333333333,5642.5
AVG_314,7974.0,5599.666666666667
AVG_315,12621.333333333334,5464.166666666667
AVG_316,10491.666666666666,5957.5
AVG_317,9193.0,5383.777777777777
AVG_318,10562.0,5567.5
AVG_319,9915.444444444443,5301.5
AVG_320,10862.666666666666,5508.666666666667
AVG_321,9423.5,5525.555555555555
AVG_322,10785.333333333334,6546.166666666667
AVG_323,10013.166666666666,5487.0
AVG_324,8964.0,6326.333333333333
AVG_325,10716.5,5655.5
AVG_326,7054.333333333333,6722.166666666667
AVG_327,9662.666666666666,6194.666666666667
AVG_328,9369.833333333334,6355.166666666667
AVG_329,7667.333333333333,5910.833333333333
AVG_330,10319.555555555557,6187.166666666667
AVG_331,8294.111111111111,5993.222222222222
AVG_332,8423.166666666666,6571.333333333333
AVG_333,7402.5,5545.5
AVG_334,8603.666666666666,5809.5
AVG_335,9767.833333333334,5255.833333333335
AVG_336,10170.88888888889,5781.444444444444
AVG_337,8913.5,5788.5
AVG_338,8464.333333333334,5278.666666666667
AVG_339,11121.5,5438.833333333333
AVG_340,11671.333333333334,5611.666666666667
AVG_341,7942.833333333333,5827.166666666667
AVG_342,,5736.666666666667
AVG_343,8530.166666666666,5698.666666666667
AVG_344,6066.333333333333,5610.5
AVG_345,6447.666666666668,6488.11111111111
AVG_346,11965.0,5706.333333333333
AVG_347,5701.666666666667,6132.666666666667
AVG_348,7929.333333333335,5972.333333333333
AVG_349,5578.0,5410.333333333333
AVG_350,6033.333333333333,5614.0
AVG_351,9596.333333333334,5787.666666666668
AVG_352,12088.0,5252.0
AVG_353,16233.333333333334,6123.0
AVG_354,6972.666666666667,4923.333333333333
AVG_355,6422.0,6379.333333333333
AVG_356,7672.333333333333,6572.833333333333
AVG_357,5285.333333333333,5294.0
AVG_358,6312.5,6078.0
AVG_359,10379.222222222224,5674.666666666667
AVG_360,7457.5,6967.833333333333
AVG_361,7374.333333333333,7036.666666666667
AVG_362,11678.0,6169.333333333333
AVG_363,13026.0,5834.333333333333
AVG_364,8813.5,7741.0
AVG_365,6646.5,6535.833333333332
AVG_366,6595.5,6416.000000000001
AVG_367,10271.0,6146.0
AVG_368,13040.166666666666,7482.333333333333
AVG_369,9501.166666666666,5458.666666666667
AVG_370,9749.444444444443,5066.0
AVG_371,6458.88888888889,5762.333333333333
AVG_372,5472.0,5472.333333333333
AVG_373,5991.666666666667,6107.333333333333
AVG_374,4658.666666666667,5511.0
AVG_375,12289.0,5979.0
AVG_376,12115.22222222222,6357.666666666665
AVG_377,8102.222222222223,6148.666666666667
AVG_378,5352.666666666667,6287.333333333333
AVG_379,13967.666666666666,5463.333333333333
AVG_380,5787.5,5624.666666666665
AVG_381,10020.333333333334,5422.000000000001
AVG_382,5791.0,5790.333333333333
AVG_383,12413.5,6213.0
AVG_384,12786.666666666666,4929.333333333333
AVG_385,,5942.0
AVG_386,,5606.11111111111
AVG_387,9720.666666666666,4824.5
AVG_388,12256.83333333333,4534.0
AVG_389,11231.444444444443,4777.833333333333
AVG_390,,5224.666666666666
AVG_391,,5026.333333333333
AVG_392,,5590.166666666667
AVG_393,,5899.666666666667
AVG_394,7756.666666666667,5078.111111111112
AVG_395,10517.333333333334,5186.333333333333
AVG_396,7958.0,5965.166666666667
AVG_397,11418.0,5858.666666666667
AVG_398,10383.666666666666,5520.666666666667
AVG_399,12130.333333333334,6417.333333333333
AVG_400,12373.333333333334,5663.666666666667
AVG_401,12155.333333333334,6089.999999999999
AVG_402,11076.666666666666,6449.666666666667
AVG_403,10583.333333333332,5498.0
AVG_404,12970.999999999998,6439.333333333333
AVG_405,8837.0,6591.333333333333
AVG_406,16005.999999999998,4981.666666666668
AVG_407,16442.666666666668,6343.0
AVG_408,15732.0,6282.0
AVG_409,12965.0,4710.111111111111
AVG_410,13015.333333333334,5617.666666666667
AVG_411,14490.33333333333,5679.333333333333
AVG_412,13709.0,5883.833333333333
AVG_413,9318.0,6270.0
AVG_414,12052.333333333334,6620.333333333333
AVG_415,13700.333333333334,6442.666666666668
AVG_416,14308.333333333334,5724.5
AVG_417,9743.333333333334,5714.166666666667
AVG_418,9455.333333333334,7006.166666666667
AVG_419,10776.666666666666,5516.0
AVG_420,11354.166666666666,6509.666666666667
AVG_421,11082.0,6381.666666666667
AVG_422,11306.666666666666,6074.333333333333
AVG_423,7742.0,5368.666666666665
AVG_424,5755.666666666667,6960.111111111112
AVG_425,10664.166666666666,7030.333333333333
AVG_426,5969.0,6941.777777777777
AVG_427,4192.666666666666,6134.222222222223
AVG_428,7184.0,7582.88888888889
AVG_429,5614.666666666667,6705.666666666667
AVG_430,5412.666666666667,6627.777777777778
AVG_431,12116.666666666666,5044.0
AVG_432,9680.666666666668,5080.666666666667
AVG_433,10972.666666666666,5441.0
AVG_434,9493.666666666666,5618.0
AVG_435,9234.333333333334,4583.333333333333
AVG_436,12340.666666666666,5471.666666666667
AVG_437,10729.666666666666,5775.666666666667
AVG_438,13326.666666666666,6092.0
AVG_439,15121.0,5568.0
AVG_440,16994.0,6114.666666666667
AVG_441,11897.0,5236.333333333333
AVG_442,11730.0,4482.666666666667
AVG_443,12194.166666666666,4510.5
AVG_444,11107.666666666666,5019.833333333333
AVG_445,11184.5,4478.333333333333
AVG_446,11791.666666666666,4918.0
AVG_447,10097.666666666666,4114.0
AVG_448,12171.333333333334,4372.333333333332
AVG_449,13339.166666666666,5840.0
AVG_450,8594.166666666666,5292.333333333333
AVG_451,8768.833333333334,5221.333333333333
AVG_452,6419.166666666667,4994.666666666667
AVG_453,9102.5,5345.333333333332
AVG_454,10178.0,5777.333333333333
AVG_455,10858.111111111111,4253.0
AVG_456,10357.666666666666,2740.333333333333
AVG_457,8465.833333333334,4619.333333333333
AVG_458,11059.444444444443,5285.0
AVG_459,12327.5,8441.999999999998
AVG_460,13033.166666666666,9234.333333333334
AVG_461,9700.666666666666,4336.999999999999
AVG_462,13216.0,5429.666666666668
AVG_463,11853.166666666666,4713.333333333333
AVG_464,14189.166666666666,6156.333333333333
AVG_465,9752.166666666666,5641.0
AVG_466,9086.666666666666,6123.0
AVG_467,9607.77777777778,5996.666666666667
AVG_468,9801.77777777778,5747.0
AVG_469,9424.888888888889,6870.666666666667
AVG_470,8713.833333333334,8175.0
AVG_471,10945.555555555557,5971.999999999999
AVG_472,10289.833333333334,8151.666666666667
AVG_473,6314.0,5283.666666666667
AVG_474,8723.166666666666,5506.333333333333
AVG_475,10679.333333333334,4233.666666666667
AVG_476,12401.666666666666,5669.333333333333
AVG_477,9856.833333333334,5904.666666666667
AVG_478,9741.333333333334,5913.666666666667
AVG_479,9043.111111111111,5672.0
AVG_480,,6183.0
AVG_481,,5640.5
AVG_482,,6522.333333333333
AVG_483,,5921.833333333333
AVG_484,10459.888888888889,5584.666666666667
AVG_485,11446.777777777776,6305.999999999999
AVG_486,9617.166666666666,7017.333333333332
AVG_487,8434.0,7902.666666666665
AVG_488,,6751.333333333333
AVG_489,11987.999999999998,5872.833333333333
AVG_490,10821.333333333334,6751.0
AVG_491,9957.0,4743.0
AVG_492,9108.666666666666,6942.666666666667
AVG_493,9998.166666666666,5141.833333333333
AVG_494,10298.333333333334,4389.5
AVG_495,9228.833333333334,6236.0
AVG_496,9107.75,4666.5
AVG_497,11961.5,4429.666666666667
AVG_498,7527.5,5201.333333333333
AVG_499,11031.833333333334,6358.0
AVG_500,8759.166666666666,6021.333333333333
AVG_501,12819.88888888889,6795.0
AVG_502,9221.5,7271.0
AVG_503,10360.333333333334,6709.666666666667
AVG_504,7970.666666666667,7173.666666666667
AVG_505,10777.166666666666,8093.833333333333
AVG_506,11167.333333333334,6889.666666666667
AVG_507,12595.333333333334,6483.0
AVG_508,5268.333333333333,5961.666666666667
AVG_509,13671.111111111111,5020.333333333333
AVG_510,6054.5,5026.333333333333
AVG_511,10841.666666666666,4820.666666666667
AVG_512,8783.333333333334,4498.0
AVG_513,9087.666666666664,4930.0
AVG_514,8055.0,5313.333333333333
AVG_515,8498.333333333334,4952.0
AVG_516,10171.0,5068.333333333332
AVG_517,5871.333333333333,5216.666666666667
AVG_518,9584.666666666666,5830.0
AVG_519,7115.666666666667,5243.333333333333
AVG_520,12772.333333333334,3715.0
AVG_521,12836.888888888889,3205.0
AVG_522,11047.77777777778,4272.333333333333
AVG_523,10238.5,1411.6666666666667
AVG_524,12255.166666666666,3.0000000000000004
AVG_525,11399.0,3.0000000000000004
